"id","age","sex","education","nfc01","nfc02","nfc03","nfc04","nfc05","nfc06","nfc07","nfc08","nfc09","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","action_orientation","effortful_control","self_control"
104,23,"Male","Abitur",7,4,5,1,7,5,4,4,1,2,1,1,6,4,2,1,12,12,3
105,20,"Female","Abitur",6,5,5,2,7,4,3,4,2,3,5,3,2,3,2,1,7,16,-2
106,22,"Male","Abitur",6,6,5,1,6,3,2,2,2,5,2,1,5,6,1,2,8,28,-3
107,28,"Female","Abitur",5,5,5,2,5,5,3,4,2,4,1,7,5,5,1,2,7,8,-5
108,25,"Male","Abitur",6,7,6,2,7,4,1,1,2,2,1,3,6,6,1,1,13,10,7
109,25,"Female","Abitur",6,5,5,2,7,6,2,3,4,6,5,1,5,4,2,3,6,-2,-3
111,21,"Male","Abitur",6,7,6,1,7,5,1,2,2,1,4,1,7,4,2,2,9,-2,5
112,28,"Female","Abitur",6,5,5,1,7,6,4,5,2,3,4,4,3,3,1,1,8,2,-2
114,24,"Male","Abitur",6,4,3,1,5,3,1,2,1,3,2,2,3,3,1,1,8,-1,12
115,21,"Male","Abitur",6,7,5,2,4,6,2,3,7,1,2,4,4,4,4,4,10,10,-8
116,20,"Female","Abitur",5,5,6,4,5,3,2,4,4,2,4,3,5,3,1,1,13,18,9
118,22,"Female","Abitur",6,6,5,1,7,4,1,4,1,3,4,1,2,4,3,3,9,4,-4
119,31,"Male","Abitur",5,5,4,3,6,3,3,5,4,3,3,2,3,4,4,3,18,20,-2
120,20,"Male","Abitur",5,5,3,3,6,6,4,3,2,4,3,4,3,3,3,4,6,3,-2
124,26,"Male","Abitur",6,6,2,2,7,4,2,3,2,7,1,2,5,3,2,2,11,-26,-12
125,21,"Female","Abitur",5,4,3,4,6,2,4,2,5,7,2,6,5,4,4,5,5,-2,-5
126,30,"Female","Abitur",7,4,4,1,7,2,1,1,1,1,1,1,4,6,1,1,7,-1,1
128,27,"Male","Abitur",6,7,6,1,6,5,1,2,1,2,2,2,5,6,1,2,13,7,-11
130,23,"Female","Abitur",6,4,4,2,6,3,3,4,2,2,3,1,3,2,1,4,14,4,5
131,24,"Male","Abitur",6,6,5,2,7,5,6,5,4,2,3,3,5,4,3,3,10,2,0
132,44,"Female","Abitur",7,7,5,2,7,3,6,2,1,2,2,2,6,5,2,3,16,9,10
133,28,"Male","Abitur",5,5,4,3,6,4,3,5,3,3,3,2,4,3,4,4,4,14,4
136,32,"Female","Abitur",7,6,7,2,4,5,2,2,1,4,1,1,5,7,1,1,7,-17,-10
137,20,"Female","Abitur",5,5,6,2,7,3,2,2,4,3,5,4,4,5,2,3,13,16,7
138,24,"Female","Abitur",6,3,4,5,5,2,2,2,1,4,5,4,4,3,1,1,14,27,8
139,30,"Female","Abitur",5,4,4,3,4,4,4,5,4,4,4,3,4,3,4,5,14,18,3
140,24,"Male","Abitur",6,5,4,2,7,2,1,2,1,2,2,1,3,5,1,1,17,-2,-10
142,28,"Male","Abitur",5,5,4,3,6,2,2,6,5,5,5,5,3,2,2,1,5,-4,-7
148,22,"Female","Abitur",6,6,4,3,5,4,4,3,2,4,2,5,6,5,3,4,15,6,-3
